,height_ver2,join_date_ver2,exp_date_ver2,sent_score,sent_max,sent_min,best,goal,good,great,love,foot_both,foot_left,foot_right,position_Defender,position_Forward,position_Goalkeeper,position_Midfielder,outfitter_Nike,outfitter_adidas,outfitter_other,nationality_ver2_Africa,nationality_ver2_Asia,nationality_ver2_Europe,nationality_ver2_North America,nationality_ver2_Oceania,nationality_ver2_South America,age,startelfquote,minutenquote,Player_agent_ver2,appearance_ver2,minutes_ver2,num_tweets_ver2,following_ver2,followers_ver2,likes_ver2,date_joined_twitter_ver3,goals_ver2,Assists_ver2,min_per_goal_ver2,market_value_ver2
0,184.0,6.33972602739726,2.4986301369863013,41.0714,0.9620000000000001,-0.8126,0.1173083698496523,0.2743144986656089,0.19976570884855646,0.15096744163641995,0.08781223457460892,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,27,38,38,1,21.0,1.094,851.0,229.0,550192.0,4164.0,8.465753424657533,4,4,274,25.08
1,185.0,8.506849315068493,3.4986301369863013,35.67470000000001,0.9324,-0.8979,0.14345277185737734,0.1141464199460322,0.11692383474849913,0.06381698059652413,0.1169280049334492,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,27,8,6,1,8.0,562.0,590.0,237.0,2305790.0,5.0,9.0,1,0,562,13.68
2,175.0,2.5013698630136987,2.4986301369863013,17.74335058236273,0.7407242096505824,-0.49375299500831943,0.10569944607987113,0.118319857496747,0.15107405248619235,0.09620516887575378,0.08555763687568908,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,30,33,30,0,10.0,681.0,21.0,34.0,1084.0,13.0,5.791780821917809,1,0,681,6.84
3,185.0,2.4684931506849317,2.4986301369863013,71.5694,0.9432,-0.9245,0.2725750575584789,0.07808038820200898,0.19995060755183372,0.1746127341080883,0.0571307825585935,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,25,33,33,1,17.0,1.034,1668.0,360.0,262129.0,894.0,8.123287671232877,1,2,1.034,6.84
4,193.0,1.9972602739726026,3.4986301369863013,79.86890000000001,0.9538,-0.8625,0.2939515548990049,0.0939774385181367,0.23584704729779246,0.1471145380216371,0.07701402742111019,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,28,100,100,1,32.0,2.94,373.0,250.0,1531741.0,2127.0,8.2,4,1,735,114.0
5,193.0,0.3863013698630137,0.4986301369863014,50.84709999999999,0.9079999999999999,-0.5719,0.2275099256391221,0.1939621201084186,0.278154258763847,0.15181647927092834,0.3179019192740303,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,36,0,0,1,0.0,0.0,934.0,354.0,31228.0,2293.0,5.8054794520547945,0,0,0,0.285
6,190.0,1.5013698630136987,0.4986301369863014,26.200800000000008,0.9451,-0.6416,0.17031252426710944,0.0,0.11712631446565724,0.08523665858975689,0.267726838565059,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,31,0,0,1,2.0,135.0,1744.0,282.0,111469.0,6756.0,6.109589041095891,0,0,0,1.71
7,193.0,0.3972602739726027,0.4986301369863014,43.313199999999995,0.9449,-0.8316,0.1664499184313562,0.4540985749803969,0.15262659492497074,0.0925594803545147,0.15505476924779005,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,31,17,24,1,14.0,536.0,775.0,462.0,297716.0,782.0,8.632876712328768,0,4,0,4.56
8,190.0,2.5013698630136987,3.4986301369863013,53.819999999999986,0.9723,-0.7906,0.1955500273432844,0.07060866983801012,0.07383352925582576,0.08059661939803785,0.09643906950466588,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,23,71,67,1,21.0,1.716,281.0,112.0,276134.0,699.0,4.504109589041096,3,1,572,31.92
9,191.0,5.383561643835616,1.4986301369863013,11.9589,0.8807,-0.5994,0.0,0.0,0.16726452810434414,0.5477574611275078,0.1911662785504229,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,29,71,72,1,21.0,1.685,278.0,257.0,409830.0,179.0,8.106849315068493,0,1,0,3.99
10,183.0,4.367123287671233,2.4986301369863013,50.2731,0.8957,-0.8118,0.1582646585411617,0.026985502828189598,0.24186850673307644,0.2640234616713704,0.08292930280208517,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,31,50,51,1,25.0,1.92,1170.0,105.0,646084.0,629.0,5.243835616438356,3,0,640,20.52
11,178.0,0.5013698630136987,4.501369863013698,59.56739999999999,0.9246,-0.9229999999999999,0.042289871970835176,0.14421583064622606,0.1680370685552164,0.09876952878816607,0.11818413133066152,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,21,88,88,1,34.0,2.32,236.0,127.0,228630.0,444.0,4.090410958904109,5,3,464,51.3
12,180.0,6.331506849315068,1.4986301369863013,73.1567,0.9633,-0.8251,0.17633925073916232,0.049201164384051914,0.22049268888679116,0.1604597577403627,0.18480046341663145,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,31,58,52,1,18.0,1.368,1705.0,116.0,24748435.0,133.0,7.780821917808219,0,2,0,25.08
13,185.0,4.0,3.4986301369863013,77.98110000000001,0.9334,-0.7488,0.15910793375854998,0.07398896890366483,0.238736204155956,0.1592581483605927,0.1667423433443949,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,22,92,87,0,31.0,2.364,889.0,76.0,2364615.0,1045.0,3.610958904109589,19,5,124,91.2
14,194.0,5.917808219178082,0.4986301369863014,1.4389,0.802,0.6369,0.0,0.0,0.0,0.0,0.5003141359867409,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,32,17,15,1,6.0,424.0,79.0,58.0,9883.0,45.0,3.5616438356164384,0,1,0,3.99
15,185.0,1.9863013698630136,3.4986301369863013,0.31720000000000004,0.5859,-0.6675,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,26,25,22,1,14.0,774.0,0.0,0.0,0.0,0.0,0.0,2,1,387,30.78
16,179.0,3.3972602739726026,4.501369863013698,21.287599999999998,0.8683,-0.8957,0.0,0.09346880981540476,0.20943802307580106,0.3657957961040776,0.14361976652951314,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,26,35,34,1,13.0,804.0,165.0,7.0,30764.0,76.0,3.4,0,1,0,11.4
17,187.0,8.506849315068493,3.4986301369863013,95.73519999999998,0.9666,-0.6747,0.19038177719923333,0.09089290367366873,0.16293289789077825,0.19056151759446446,0.27932350118895755,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,29,83,78,1,30.0,2.361,361.0,208.0,938011.0,34.0,4.868493150684931,2,3,1.181,39.9
18,183.0,0.2136986301369863,0.4986301369863014,14.3823,0.8974,-0.6705,0.13585469391917798,0.06949322598181935,0.18685836135758802,0.20397443253046496,0.14237335300196466,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,36,0,0,1,0.0,0.0,147.0,56.0,184287.0,83.0,5.794520547945205,0,0,0,1.14
19,185.0,2.4383561643835616,3.4986301369863013,52.375,0.9517,-0.9059,0.14438322809406615,0.2031034337003503,0.3144321823968419,0.01806494262841124,0.09456944267062338,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,25,46,43,1,18.0,1.391,6612.0,488.0,1310917.0,1608.0,8.09041095890411,0,3,0,39.9
20,190.0,1.917808219178082,5.501369863013698,53.2631,0.9545,-0.9118,0.2436605460149505,0.010386561368491743,0.1768781555836764,0.040648431194050746,0.04255866805146494,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,25,21,18,1,5.0,385.0,1481.0,514.0,227568.0,1561.0,9.482191780821918,0,0,0,85.5
21,183.0,1.5013698630136987,3.4986301369863013,30.887799999999995,0.9403,-0.7906,0.2284516846975984,0.10016486265662422,0.1795536359809733,0.0980003001790036,0.068403824727395,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,20,4,3,1,6.0,341.0,3786.0,162.0,440501.0,11125.0,4.553424657534246,1,0,341,22.8
22,177.0,0.9972602739726028,4.501369863013698,77.4701,0.9337,-0.9022,0.1418345283984641,0.25063441526962066,0.17734835785270758,0.193593320579266,0.08107642657283834,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,19,25,31,0,26.0,1.326,144.0,37.0,258393.0,571.0,1.936986301369863,4,6,332,39.9
23,182.0,3.367123287671233,1.4986301369863013,14.070099999999996,0.9245,-0.7096,0.0,0.2379244261793809,0.21324941040274706,0.23278287981513546,0.12186115206786102,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,29,38,45,0,22.0,1.281,271.0,152.0,23770.0,94.0,4.021917808219178,4,1,320,12.54
24,184.0,3.336986301369863,1.4986301369863013,44.1027,0.9538,-0.8979,0.10711625319920837,0.13698190646115674,0.2332736129272344,0.14742390051625093,0.07015997979637104,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,27,13,16,1,12.0,966.0,691.0,100.0,738416.0,368.0,5.50958904109589,1,1,966,17.1
25,181.0,1.5013698630136987,2.4986301369863013,12.5716,0.8481,-0.7399,0.0,0.2510481234639213,0.3375180840261925,0.12281148701406812,0.06429145178797815,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,27,74,74,1,18.0,1.538,346.0,215.0,46322.0,1303.0,9.646575342465754,0,2,0,7.98
26,165.0,1.936986301369863,0.4986301369863014,17.74335058236273,0.7407242096505824,-0.49375299500831943,0.10569944607987113,0.118319857496747,0.15107405248619235,0.09620516887575378,0.08555763687568908,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,32,17,22,1,17.0,725.0,0.0,0.0,0.0,0.0,0.0,0,1,0,3.42
27,184.0,3.495890410958904,1.4986301369863013,46.6149,0.9432,-0.8225,0.027515822671196802,0.3096513709733129,0.16399948610893478,0.11016720199215682,0.10092636017587477,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,26,0,6,1,23.0,660.0,3731.0,352.0,1856856.0,1337.0,5.863013698630137,8,3,83,25.08
28,187.0,3.5013698630136987,2.4986301369863013,42.3682,0.9217,-0.8909999999999999,0.2082917846319459,0.09835079145910396,0.17630176630527938,0.04811271552818005,0.10074745957320308,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,25,0,0,1,1.0,61.0,175.0,52.0,1106208.0,84.0,3.9506849315068493,0,0,0,25.08
29,178.0,1.4164383561643836,3.4986301369863013,53.8594,0.9325,-0.836,0.31104008441076403,0.1339832682253141,0.165120910202773,0.11470190381331626,0.1544042799361397,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,26,96,91,1,27.0,2.335,1513.0,194.0,610895.0,3020.0,5.931506849315069,1,6,2.335,39.9
30,175.0,0.4602739726027397,0.4986301369863014,18.8675,0.91,-0.6908,0.08383518060819076,0.12865165677744492,0.15374568244591766,0.1258714947370014,0.04392890454640548,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,26,0,1,1,4.0,282.0,366.0,806.0,127729.0,2498.0,8.64931506849315,0,1,0,0.855
31,173.0,3.3534246575342466,1.4986301369863013,20.025699999999997,0.9516,-0.765,0.09016854447710028,0.0,0.12402034836583065,0.13538050958148154,0.23623766029293086,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,26,29,33,0,13.0,898.0,3765.0,331.0,370269.0,4827.0,8.243835616438357,1,0,898,9.12
32,186.0,2.5013698630136987,0.4986301369863014,32.214400000000005,0.9524,-0.8481,0.0,0.2807091302409425,0.2515969355471608,0.07490263813888091,0.02614087365810554,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,38,0,0,1,4.0,360.0,2165.0,147.0,211620.0,55.0,8.553424657534247,0,0,0,0.855
