,name
0,Erik Lamela
1,Phil Jones
2,Tom Cleverley
3,Nathaniel Chalobah
4,Virgil van Dijk
5,Andy Lonergan
6,Leon Balogun
7,Andy Carroll
8,Scott McTominay
9,Martin Kelly
10,Nicolás Otamendi
11,Mason Mount
12,Mesut Özil
13,Marcus Rashford
14,Scott Dann
15,Ross Barkley
16,Arthur Masuaku
17,Jordan Henderson
18,Michel Vorm
19,Benjamin Mendy
20,Aymeric Laporte
21,Diogo Dalot
22,Callum Hudson-Odoi
23,Roberto Pereyra
24,Shkodran Mustafi
25,Ryan Fredericks
26,Aaron Lennon
27,Michy Batshuayi
28,Eric Bailly
29,Lucas Digne
30,Ravel Morrison
31,DeAndre Yedlin
32,Willy Caballero
33,Karl Darlow
34,Kortney Hause
35,Jetro Willems
36,David Silva
37,Juan Mata
38,Toby Alderweireld
39,Ben Gibson
40,Callum Wilson
41,Moussa Sissoko
42,Tyrone Mings
43,Frédéric Guilbert
44,Kevin Danso
45,Calum Chambers
46,Moritz Leitner
47,Adam Lallana
48,Pierre-Emerick Aubameyang
49,Antonio Rüdiger
50,James Milner
51,Angelo Ogbonna
52,Dan Burn
53,Alex McCarthy
54,Winston Reid
55,Kieran Tierney
56,Isaac Success
57,Anwar El Ghazi
58,Jack Rodwell
59,Sead Kolasinac
60,Jack Cork
61,Jeff Hendrick
62,Maya Yoshida
63,Harry Kane
64,Nathan Redmond
65,José Izquierdo
66,Rob Holding
67,Michail Antonio
68,Ben Foster
69,Andre Gray
70,Yoshinori Muto
71,Matty James
72,Mathew Ryan
73,Chris Wood
74,Lewis Baker
75,Daryl Janmaat
76,Dele Alli
77,Serge Aurier
78,Ayoze Pérez
79,Trent Alexander-Arnold
80,Héctor Bellerín
81,Cuco Martina
82,Emerson
83,Tammy Abraham
84,Xherdan Shaqiri
85,Eric Dier
86,Nathan Aké
87,Kyle Walker-Peters
88,Adam Legzdins
89,Georginio Wijnaldum
90,Will Hughes
91,Ben Godfrey
92,Jota
93,Djibril Sidibé
94,Christian Pulisic
95,Victor Lindelöf
96,David Luiz
97,Kelechi Iheanacho
98,Gabriel Jesus
99,Jonas Lössl
100,Manuel Lanzini
101,Dean Henderson
102,Tom Heaton
103,Cenk Tosun
104,Billy Sharp
105,Ryan Bertrand
106,Jan Bednarek
107,Adrián
108,Ben Chilwell
109,Raheem Sterling
110,Kepa
111,Daniel James
112,Wes Morgan
113,Adama Traoré
114,Adama Traoré
115,Adama Traoré
116,Adama Traoré
117,Raúl Jiménez
118,N'Golo Kanté
119,Oliver McBurnie
120,Nemanja Matic
121,Douglas Luiz
122,Wayne Hennessey
123,Phil Jagielka
124,Willian
125,Glenn Murray
126,Jordan Pickford
127,Solly March
128,Ben Osborn
129,Sam McQueen
130,Kevin Long
131,Beram Kayal
132,Pedro
133,Henri Lansbury
134,Fikayo Tomori
135,Kiko Femenía
136,Ezequiel Schelotto
137,Jordon Ibe
138,Chris Mepham
139,Andrew Robertson
140,Kasper Schmeichel
141,Patrick van Aanholt
142,Daniel Bachmann
143,John Lundstram
